,On-Field Earnings,Off-Field Earnings,Total Earning,Nationality
Alex Morgan,0.8,6.3,7.1,U.S.
Megan Rapinoe,0.7,6.3,7,U.S.
Alexia Putellas,0.8,3.2,4,Spain
Trinity Rodman,0.8,1.5,2.3,U.S.
Crystal Dunn,0.7,1.3,2,U.S.
Julie Ertz,0.7,1.3,2,U.S.
Sophia Smith,0.8,1.2,2,U.S.
Lindsey Horan,0.9,0.6,1.5,U.S.
Rose Lavelle,0.8,0.6,1.4,U.S.
Sofia Huerta,0.8,0.5,1.3,U.S.
Ada Hegerberg,0.6,0.6,1.2,Norway 
Chloe Kelly,0.4,0.8,1.2,England
Sam Kerr,0.6,0.6,1.2,Australia 
Kelley O’Hara,0.7,0.5,1.2,U.S.
Alyssa Naeher,0.8,0.3,1.1,U.S.
,,,,
Data Source: https://www.forbes.com/sites/brettknight/2023/07/21/womens-world-cup-highest-paid-alex-morgan-megan-rapinoe/?sh=5ec3decc5acd,,,,
