Date,Home,Away,Attendance,Venue
2016-04-16,Washington Spirit,Boston Breakers,"3,578",TBD
2016-04-16,FC Kansas City,Western New York Flash,"8,022",Children's Mercy Park
2016-04-16,Houston Dash,Chicago Red Stars,"7,740",Shell Energy Stadium
2016-04-17,OL Reign,NJ/NY Gotham FC,"3,987",UW Medicine Pitch at Memorial Stadium
2016-04-17,Portland Thorns FC,Orlando Pride,"16,073",Providence Park
2016-04-23,Chicago Red Stars,Western New York Flash,"2,529",SeatGeek Stadium
2016-04-23,Orlando Pride,Houston Dash,"23,403",Camping World Stadium
2016-04-23,FC Kansas City,Portland Thorns FC,"3,022",Mercy Victory Field
2016-04-24,NJ/NY Gotham FC,Washington Spirit,"2,571",TBD
2016-04-24,Boston Breakers,OL Reign,"3,743",Jordan Field
2016-04-29,Western New York Flash,Washington Spirit,"3,615",Capelli Sport Stadium
2016-04-29,Houston Dash,NJ/NY Gotham FC,"5,081",Shell Energy Stadium
2016-05-01,Boston Breakers,Portland Thorns FC,"3,698",Jordan Field
2016-05-01,Chicago Red Stars,Orlando Pride,"4,024",SeatGeek Stadium
2016-05-01,OL Reign,FC Kansas City,"4,083",UW Medicine Pitch at Memorial Stadium
2016-05-07,NJ/NY Gotham FC,Western New York Flash,"1,252",TBD
2016-05-07,Boston Breakers,Chicago Red Stars,"3,622",Jordan Field
2016-05-07,Washington Spirit,Portland Thorns FC,"4,333",Maureen Hendricks Field Maryland SoccerPlex
2016-05-07,FC Kansas City,Houston Dash,"3,282",Mercy Victory Field
2016-05-08,Orlando Pride,OL Reign,"8,211",Camping World Stadium
2016-05-13,NJ/NY Gotham FC,Boston Breakers,"1,275",TBD
2016-05-13,FC Kansas City,Chicago Red Stars,"2,217",Mercy Victory Field
2016-05-14,Washington Spirit,Houston Dash,"3,545",Maureen Hendricks Field Maryland SoccerPlex
2016-05-14,Orlando Pride,Western New York Flash,"7,841",Camping World Stadium
2016-05-14,OL Reign,Portland Thorns FC,"4,631",UW Medicine Pitch at Memorial Stadium
2016-05-20,Houston Dash,Orlando Pride,"6,293",Shell Energy Stadium
2016-05-21,Western New York Flash,NJ/NY Gotham FC,"3,910",Capelli Sport Stadium
2016-05-21,Portland Thorns FC,Washington Spirit,"15,823",Providence Park
2016-05-22,Boston Breakers,FC Kansas City,"3,288",Jordan Field
2016-05-22,OL Reign,Chicago Red Stars,"4,056",UW Medicine Pitch at Memorial Stadium
2016-05-27,Western New York Flash,Boston Breakers,"3,940",Capelli Sport Stadium
2016-05-28,FC Kansas City,Orlando Pride,"3,104",Mercy Victory Field
2016-05-29,Portland Thorns FC,OL Reign,"18,114",Providence Park
2016-05-29,Chicago Red Stars,NJ/NY Gotham FC,"2,502",SeatGeek Stadium
2016-06-10,Boston Breakers,Washington Spirit,"4,007",Jordan Field
