Year-Month,Attendance
2016-04,83364
2016-05,113044
2016-06,76207
2016-07,127261
2016-08,33477
2016-09,126542
2016-10,28341
2017-04,84944
2017-05,95976
2017-06,98686
2017-07,99677
2017-08,119643
2017-09,109719
2017-10,37646
2018-03,48812
2018-04,91667
2018-05,137607
2018-06,95001
2018-07,96033
2018-08,128420
2018-09,92991
2019-04,71639
2019-05,75720
2019-06,90114
2019-07,159653
2019-08,180451
2019-09,152706
2019-10,84253
2021-05,38393
2021-06,46000
2021-07,80683
2021-08,134976
2021-09,41100
2021-10,134433
2021-11,33511
2022-04,38700
2022-05,155871
2022-06,139208
2022-07,160251
2022-08,155260
2022-09,210607
2022-10,130633
2023-03,90009
2023-04,203805
2023-05,212997
2023-06,234265
2023-07,101851
2023-08,116092
2023-09,172375
2023-10,233979
2023-11,82491
2024-03,248629
2024-04,229173
2024-05,305500
2024-06,379778
2024-07,57475
2024-08,83098
2024-09,313093
2024-10,84945
2024-11,127715
