Rank,Image,Team,P,W,D,L,PTS
1,https://images.nwslsoccer.com/image/private/t_q-best/v1710436099/prd/assets/teams/orlando-pride.svg,Orlando Pride,26,18,6,2,60
2,https://images.nwslsoccer.com/image/private/t_q-best/v1712866158/prd/assets/teams/washington-spirit.svg,Washington Spirit,26,18,2,6,56
3,https://images.nwslsoccer.com/image/private/t_q-best/v1710436096/prd/assets/teams/nj-ny-gotham-fc.svg,NJ/NY Gotham FC,26,17,5,4,56
4,https://images.nwslsoccer.com/image/private/t_q-best/v1710436094/prd/assets/teams/kansas-city-current.svg,Kansas City Current,26,16,7,3,55
5,https://images.nwslsoccer.com/image/private/t_q-best/v1712866345/prd/assets/teams/north-carolina-courage.svg,North Carolina Courage,26,12,4,10,40
6,https://images.nwslsoccer.com/image/private/t_q-best/v1710436101/prd/assets/teams/portland-thorns-fc.svg,Portland Thorns FC,26,10,4,12,34
7,https://images.nwslsoccer.com/image/private/t_q-best/v1710436091/prd/assets/teams/chicago-red-stars.svg,Chicago Red Stars,26,10,2,14,32
8,https://images.nwslsoccer.com/image/private/t_q-best/v1710436090/prd/assets/teams/bay-fc.svg,Bay FC,26,9,2,15,29
9,https://images.nwslsoccer.com/image/private/t_q-best/v1710436103/prd/assets/teams/racing-louisville-fc.svg,Racing Louisville,26,7,7,12,28
12,https://images.nwslsoccer.com/image/private/t_q-best/v1710436088/prd/assets/teams/angel-city-fc.svg,Angel City FC,26,7,6,13,27
11,https://images.nwslsoccer.com/image/private/t_q-best/v1710436109/prd/assets/teams/utah-royals-fc.svg,Utah Royals FC,26,7,4,15,25
10,https://images.nwslsoccer.com/image/private/t_q-best/v1710436105/prd/assets/teams/san-diego-wave-fc.svg,San Diego Wave FC,26,6,7,13,25
13,https://images.nwslsoccer.com/image/private/t_q-best/v1710436107/prd/assets/teams/seattle-reign.svg,Seattle Reign FC,26,6,5,15,23
14,https://images.nwslsoccer.com/image/private/t_q-best/v1710436093/prd/assets/teams/houston-dash.svg,Houston Dash,26,6,5,15,23
